,cond1,cond2,t,p,value_remap_1,value_remap_2
38,gpt3_davinci,gpt3_babbage,1.4375905768565218,0.16056863389412462,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36b8c0>
39,gpt3_davinci,gpt3_curie,1.4375905768565218,0.16056863389412462,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36b9c0>
40,gpt3_davinci,bert,1.4375905768565218,0.16056863389412462,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36b640>
41,gpt3_davinci,human_label,1.4375905768565218,0.16056863389412462,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36b3c0>
42,bert,gibbs_cluster,2.265491189814215,0.030616618635485877,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36be80>
43,bert,gpt3_gibbs_completion,2.265491189814215,0.030616618635485877,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36b200>
44,bert,gpt3_ada,3.3038603114760283,0.0024123581464454602,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb366200>
45,bert,gpt3_babbage,2.265491189814215,0.030616618635485877,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36c1c0>
46,bert,gpt3_curie,2.265491189814215,0.030616618635485877,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36c340>
47,bert,gpt3_davinci,3.644957377763735,0.0009692860948607031,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb367900>
48,bert,human_label,2.265491189814215,0.030616618635485877,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36c940>
49,human_label,gibbs_cluster,2.674667484725186,0.01183350537024447,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36cd40>
50,human_label,gpt3_gibbs_completion,2.674667484725186,0.01183350537024447,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36cf00>
51,human_label,gpt3_ada,4.051143629381999,0.0003168300739317434,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36c400>
52,human_label,gpt3_babbage,2.674667484725186,0.01183350537024447,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36c580>
53,human_label,gpt3_curie,2.674667484725186,0.01183350537024447,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36f740>
54,human_label,gpt3_davinci,4.6254044360664395,6.266546591133554e-05,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36cf40>
55,human_label,bert,2.674667484725186,0.01183350537024447,"[(0, 1), (1, 2), (2, 3)]",<zip object at 0x2fb36f540>
